ID,display_id,GUID,DID,DAO,ShortTitle,Category,Type,Status,Priority,Created [YYYY-MM-DD],Author,Authors,Tags,Description,Context_Origin_WhyItWasInitiated,Technology,SFIA_Level,SFIA_Domain,SFIA_Maturity,Related_KNIFE,PotentialOutputs,Owner,Org,Project,Locale,FolderName,SidebarLabel,LinkSlug,Copyright,RightsHolderContent,RightsHolderSystem,License,Disclaimer
K000001,,728afefa-b72f-4aa6-b31e-4a388cdd7a46,,,EA modelovanie a motivácia,Verzionanie-sdlc,Integrácia,done,🎯,01.03.2024,Roman Kazicka,,,Systém motivácie pomocou lízaniek a spätnej väzby,"Jedno z prvých TERNO, vzniklo pri návrhu systému motivácie v rámci tímu",,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,,,,,,,
K000002,,6cf87ac0-1644-4134-8c67-8e61da2dca78,,knife,Git workflow pre EA modely,Platformy,Vývoj / Integrácia,inprogress,🔥,04.03.2024,Roman Kazicka,,,"Multirelease stratégie, LemonTree, merge politiky",Založené na reálnej potrebe riešiť multirelease workflow pre EA,,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000003,,dd435f3c-8a1d-4fc0-b873-12645f6aa10f,,knife,LibreOffice + Python integrácia,Technologie,Edukačné,inprogress,🔥,08.03.2024,Roman Kazicka,,,Skriptovanie v LO cez Python a venv izolácie,Reakcia na požiadavku na moderný vývoj v LibreOffice – Python/venv,,3,Software Development,Scriptable,,,,,,,,,,,,,,
K000004,,76ab8f65-0259-48ab-adbf-86cfa6a80d57,,knife,Docker pre študentov (K12),RiverOfMyLife,Osobný rozvoj / Algoritmika,backlog,🧠,20.03.2024,Roman Kazicka,,,Zjednodušené návody a obrázky pre začiatočníkov,Vzniklo ako návrh edukačného materiálu pri tvorbe kurzov pre Docker,,2,DevOps / Infrastructure,Learning-based,,,,,,,,,,,,,,
K000005,,610c8ab7-dffb-4172-bf31-0fd95e5102dd,,knife,BaZi pre racionálne duše,UserGuide,Správa Gitea / Práva,backlog,💡,18.04.2025,Roman Kazicka,,,Sebapoznanie cez dátum a čas narodenia (BaZi),Záznam vznikol počas diskusie o TCM a racionálnom prístupe k BaZi,,2,Knowledge Engineering,Exploratory,,,,,,,,,,,,,,
K000006,,278b53c7-c34d-42b5-8969-3d22e63badd7,,knife,Tímová správa práv v Gitea,UserGUide,Správa/Automatizácia,backlog,📌,08.04.2024,Roman Kazicka,,,"Rozdelenie práv podľa tímov, chránené vetvy, PR politiky",Zaznamenané počas diskusie o Gitea právach a workflow – T002,,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000007,,745a9616-e53d-4a82-b14d-7e7fbf8bfef8,,knife,Helper skript na obrázky v Markdown,Leadership,Hodnoty / Strategické,aktívne,⚙️,17.04.2024,Roman Kazicka,,,Generovanie obrázkových blokov do .md vrátane URL,Vzniklo pri návrhu Markdown workflow helpera – súvisiace s T007,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000008,,fbb56d3a-aa9f-4594-bdfd-b30c12c09174,,knife,DCMM a DAO – hodnota leadershipu,Marketing,Marketing / AI,inprogress,🧭,04.04.2024,Roman Kazicka,,,"Sebariadenie, dôvera a samočistiace systémy",Diskusia o leadership kvalite v rámci strategických tém – T008,,2,Business Analysis / Modelling,Diagrammatic,,,,,,,,,,,,,,
K000009,,2a2564bd-e234-42ed-acd9-e80ddb128b17,,knife,LinkedIn post engine – AI automatizácia,Products,Vývoj / AI,backlog,🧪,10.04.2024,Roman Kazicka,,,Generovanie postov na LinkedIn z obsahu,"Myšlienka z praxe na LinkedIn, súvis s T009 a zdieľaním obsahu",,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000010,,833ed8e5-8144-4de4-b63a-1d6000dee2a1,,knife,OpenAI klient – vlastná AI komunikácia,LO vývoj,Šablóny / LO,backlog,⚡,13.04.2024,Roman Kazicka,,,Appka s prepojením na OpenAI API a archív komunikácie,"Začiatok vývoja AI nástroja, súvisí s plánom T018",,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000011,,f5282c5a-cda6-4028-8f5a-ce9d3637c5c8,,knife,Main.xba šablóna pre LO Basic,ModelValidation,QualityOFModel/EA Add-In,backlog,🧱,09.04.2024,Roman Kazicka,,,Základná štartovacia knižnica makier v LibreOffice,Téma makier v LibreOffice – samostatný štartovací modul,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000012,,5c2a2821-7814-4e7f-b479-33fd736bf633,,knife,EA Workflow Add-In – pokročilé šablóny,ModelValidation,EA Add-In,backlog,📂,10.04.2024,Roman Kazicka,,,Workflow pre pokročilých analytikov v EA,Rozšírenie pre EA Add-In v rámci T012,,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000013,,fea26033-7add-4816-bfc1-a7e65df4d2b4,,knife,ReadOnlyControl v EA – Workflow Add-In,LO Development,LibreOffice / Knižnice,backlog,🔒,10.04.2024,Roman Kazicka,,,Obmedzenie práv v EA na základe kontextu a roly,Doplnok k EA Add-In – konkrétne obmedzenia práv (ReadOnly),,3,Configuration Management,Tool-based,,,,,,,,,,,,,,
K000014,,56e95dd8-a633-4850-8615-063ce541fc44,,knife,Manažér knižníc pre LO Basic,LO Vývoj,Migrácia / Vývoj,backlog,📚,10.04.2024,Roman Kazicka,,,Načítanie a správa knižníc v LO Basic,Nástroj pre správu LO knižníc – samostatne definovaný,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000015,,67a1b9c8-6fc2-4c20-94dd-95a08111ec73,,knife,LibreOffice Basic → Python migrácia,LO Development,Skriptovanie / LO,inprogress,🔁,13.04.2024,Roman Kazicka,,,Konverzia VB makier do Python skriptov,Migrácia z VB do Python – vzniklo počas T003 a T014,,3,Software Development,Scriptable,,,,,,,,,,,,,,
K000016,,daf7cda8-38d2-4206-84f7-1cdc8a169276,,knife,Helper skript pre LO symbolic link,Frameworks,Plánovanie / AI,inprogress,🧪,13.04.2024,Roman Kazicka,,,Obnova symbolic linku pre user/scripts/,Podpora pre vývojové prostredie LO – vzniklo počas T015,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000017,,41a44dfe-5b85-480a-8168-710530b572d6,,knife,AI-powered TERNO Planner,Framework,UserGuide,done,📅,16.04.2025,Roman Kazicka,,,Nástroj na správu a sledovanie TERNA záznamov,Zaznamenané počas návrhu plánovania TERNA – prehľadový modul,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000018,,5e74e5c2-9db8-4e44-bec5-9b3d91b36f17,,knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000019,,986a2d27-e983-4c02-b17b-f54b5625c188,,knife,"BaZi výpočty – algoritmus, hodiny, kalendár",LO Platforma pre komunitu,Strategické / Komunitné,backlog,🧠,18.04.2025,Roman Kazicka,,,"Výpočtový rámec BaZi v Pythone alebo Exceli, denné a hodinové analýzy, poradca",Rozšírenie T005 – potreba výpočtu BaZi a hodinovej analýzy,,2,Knowledge Engineering,Exploratory,,,,,,,,,,,,,,
K000020,,9c178019-c50a-4a28-b344-afd80f289523,,knife,LibreOffice ako komunitná platforma,Methodology,Metodika / SDLC,backlog,🌍,10.04.2025,Roman Kazicka,,,"Podpora LO ako otvoreného, komunitného štandardu pre udržateľné riešenia",Podpora LO ako komunitného nástroja v rámci T003,,3,Software Development,Scriptable,,,,,,,,,,,,,,
K000021,,48dbd9ae-966a-4a5b-8eda-bd4257793384,,knife,Princíp udržateľnosti v architektúre,EducationViaJoy,Edukačné / Kultúrne/Edukačný proces,koncept,🌱,20.03.2025,Roman Kazicka,,,Architektonické a dizajnové rozhodnutia s ohľadom na stabilitu a dlhodobosť,Princíp objavený počas reflexie SDLC v T004 a T008,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000022,,27ffa9b9-04b5-4a79-921c-38123de82f2d,,knife,TERNO – terapeutické formy učenia,Smalltalks,AI / UX / Sebapoznanie,backlog,🎭,20.03.2025,Roman Kazicka,,,"Satira, emócie a storytelling ako forma výuky a reflektovania reality",Diskusia o forme učenia počas plánovania T004,,2,Learning Design,Teaching-oriented,,,,,,,,,,,,,,
K000023,,a9ea072a-2fc0-425a-ac4d-9140d92ab221,,knife,AI interakcie – časová os a emócie,PersonalKMsystem,Integrácia / Poznámky,backlog,🧭,13.04.2025,Roman Kazicka,,,"Zaznamenávanie malých interakcií, small-talkov a spätných väzieb pre orientáciu v čase",Reflexia počas návrhu AI klienta – T018,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000024,,18f0681d-54db-4a41-a7fd-b77386a7299e,,knife,OneNote ako zdroj metadát pre AI,Methodology,Metodika / Evidencia,backlog,🗃️,13.04.2025,Roman Kazicka,,,Prepájanie osobného poznámkového systému s AI klientom a projektmi,Väzba medzi OneNote a projektovým manažmentom – T017,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000025,,0e591458-c661-4f18-8e85-9c1c14efaedc,,knife,Kategorizácia TERNO podľa SDLC a 7D,Framework / Edukačné,Framework / Metodika / Edukačný základ,inprogress,📊,01.03.2025,Roman Kazicka,,,Zaradenie každého TERNO podľa fázy vývoja a vedomostnej disciplíny,Systematizácia potreby klasifikovať TERNA – vzniklo pri tvorbe SSOT,,2,General Knowledge Work,Adaptive,,,,,,,,,,,,,,
K000026,,eb38351b-5165-46ea-9dee-a9515a69195d,,knife,"KNIFE Framework pre vývoj a učenie sa (LibreOffice, Python)",Versioning / Git,Edukačné / Praktické,Inprogress,🔥,20.04.2025,Roman Kazicka,,,"Jednotný rámec pre budovanie, testovanie a učenie sa v malých krokoch pomocou LibreOffice + Python. Každý krok reprezentuje samostatnú jednotku (TERNO), ktorú je možné testovať a spätne dohľadať. Vhodné na výuku aj profesionálny vývoj.","Pri vývoji Personalised Calendards vznikla potreba vytvorič si „Dieľňu“ pre LO,Projekt 05-LibreOffice, priečinok 01-PersonalisedCalendars/01-Basic-Calendar/4/terno-framework","LibreOffice, Python, VS Code, Testovanie, JSON, Git",3,Software Development,Scriptable,,,,,,,,,,,,,,
K000027,,3264251d-6fb5-41f2-b8eb-9b726c2542f2,,knife,Git For Dummies – Central Concepts,CASO-CASA,Metodika/Framework,inprogress,🎯,28.04.2025,Roman Kazicka,,,"Jednoduché vysvetlenie Git základov pre začiatočníkov v GitEA (organizácia, repozitár, working directory, atď.)",Vzniklo ako základný materiál pre školenie GitEA procesov a tímovú prácu,"Git, GitEA",2,Software Configuration,Learning-based,,,,,,,,,,,,,,
K000028,,735d6a47-d44c-40c7-861c-8fca193b68ef,,knife,"Context Aware System Ontology, Approach",Platformy=OOODEV 4 LO,Vývoj – Integrácia,inprogress,,11.05.2025,Roman Kazicka,,,"Každé riešenie je o kontexte. Neexistuje jeden nástroj na vštky problémy. Toto zasahuje do filozofie. 
Všetko je riadené spoločnými princípmy, dá sa učiť od starších disciplín a ušetriť čas. TRIZ, ","9.5. som sa opýtal na Orchideu, koľko má vlastne lupienkov…. 
Vznikol z toho koncept CASO, CASA, a ďalšie dialógy. O TRIZ … Epistemiologii …SFIA,",,"6,7","Enterprise and Business Architecture (STPL, ARCH) Information Strategy (ITSP) Innovation (INOV) Change Implementation (CIPM) Methods and Tools (METL) Organizational Capability Development (OCDV) ",Expert,#28-CASA,,,,,,,,,,,,,
K000029,,31b04e60-ff57-4a5b-95b3-e24be0a1e338,,knife,Prostredie vývojové python pre LO,GitHUB pages – Edu,Vzdelávanie-Marketing,inprogress,🔥,16.05.2025,Roman Kazicka,,,"Profi prostredie pre pyhton dev v LO, OOODEV","Po nekonecnych konfiguraciach som poziadal GPT nech najde profi riesenie. Doporucil OOPDEV, tak to idem overit","LO, OOODEV","6,7",Software Development,Solution Architect,,,,,,,,,,,,,,
K000030,,553c7b60-ab06-4412-96dc-84d0ea2fa323,,knife,Príbeh poznania SDLC,SDLC framework,Praktické používanie na výuku SDLC,inprogress,🔥,17.05.2025,Roman Kazicka,,,"Pripravujem vzdelávacie kurzy, marketing cez LI, PT, YT, keby som priebezne zverejnoval svoju cestu, mal by som co pisať a bolo by to v kontexte KM, SDLC","Priprava FIIT, odchad z 365, potreba za zviditelnit a pripadne aj zarobit, dotiahnut projekty, produkty","GitHUB, EA, Python","Level 3 – Apply → samostatná práca
Level 5 – Ensure, Advise → zodpovednosť za kvalitu, konzultant
Llevel 6 – Initiate, Influence → strategická iniciatíva","KM (Knowledge Management), EDS (Education), ITMG (Information Technology Management)",Self learning, ,,,,,,,,,,,,,
K000031,,0b3729dc-ca0b-4025-879a-c6fc72a83d84,,knife,„Document-as-Code“ framework,SDLC framework / Release management,"Firemné použitie, governance, traceability",inprogress,🔥,18.05.2025,Roman Kazicka,,,"Tvorba dokumentov ako SDLC proces. Diplomovky, sprievodná dokumentácia pre zákazníklov, ….","Pri vytvaraní frameworku pre publikovanie na LI, PT, YT sme dosli k tomuto riešeniu na GITHUB ako Pages….","GITHyb, Pages, ","Level 4 – Enable (alebo L5 – Ensure, ak sa zavádza vo firme)","NOV, METL, DTAN, DESN, DOCU",3 – Defined (možno dorásť na 4 – Managed),"📘 SFIA vysvetlenie:
SFIA prvok
Význam v kontexte Document-as-Code
Level 4
Umožňuje štandardizované použitie vo výuke alebo týme
INOV
Inovácie pracovných postupov
METL
Metodiky vývoja a dokumentácie
DTAN
Digitálna analýza procesov a výstupov
DESN
Tvorba štruktúr obsahu (dizajn dokumentácie)
DOCU
Správa životného cyklu dokumentov a ich prepojení
",,,,,,,,,,,,,
K000032,,d7f03d39-ef27-4747-96b3-1ed94589eb90,,knife,„Enterprise Document-integrated SDLC“,Psychológia práce / Kontext / Kultúra tímu,Metodika,inprogress,🔥🔥,18.05.2025,Roman Kazicka,,,"Zavedenie Git-based dokumentačného frameworku pre prepojenie požiadaviek, rozhodnutí a architektúr naprieč SDLC vo firemnom prostredí s množstvom stakeholderov, JIRA taskov, externých dodávateľov a zložitým change manažmentom.","Zistenie, že dokumenty, ktoré ovplyvňujú produkt a organizáciu, musia byť verzované a auditovateľné ako kód. Git a Pages umožňujú prepojenie decision trailu s produktovými releasmi.","GitHub, Gitea, Pages, MkDocs, Mermaid, Git Actions",Level 5 – Ensure / Advise,"GOVN, METL, RELM, DESN, DOCU, SUBD, INOV",2–3 (Repeatable → Defined),,,,,,,,,,,,,,
K000033,,4bf0fa16-972c-4cbc-a923-2d28af33f41d,,knife,Smalltalk ako nástroj flowu a kontextu,Profesia Architekt urbanista na Slovensku,Ako na to?,backlog,Stredná až vysoká,20.05.2025,Roman Kazicka,,"smalltalk, flow, psychológia práce, humor, kultúra tímu","Zber a reflexia neformálnych výrokov (smalltalkov) ako podpora tímovej pohody, flow a bezpečného kontextu.
Zber a štruktúrovaná reflexia neformálnych výrokov („smalltalkov“) v rámci dialógu s AI. Smalltalky fungujú ako mikrospúšťače pohody, humoru alebo hlbších vhľadov a podporujú kontextovú súdržnosť, flow atmosféru a psychologickú bezpečnosť","Vzniklo počas spolupráce Roman K. + GPT ako reakcia na potrebu zachytiť ľudský rozmer technických rozhovorov.
Vzniklo v rámci konverzácií s AI (Roman K.), ako reakcia na potrebu udržať „ľudskosť“ a kontinuitu medzi technickými a osobnými témami.","Markdown, GitHub, AI-dialogue, Prozaická kultúra",3–5,"People management, Knowledge sharing, Collaboration",Emerging,"K002, K010, K015, K021","SMALLTALKs.md, článok, podcast, onboarding booklet",,,,,,,,,,,,
K000034,,cd2b41b5-45c1-4464-9c35-94ad9309bbea,,knife,"Pracovno, finančný ekosystém",CAS-ContextAwareSolutions,Koncepty,backlog,Vysoká,25.05.2025,Roman Kazicka,,Pracovné právo ,"Absolventi architektúry už počas štúdia sú selektovaní  z komerčných ateliérov. Ponúkajú im brikády, prípadne dohody o vykonaní práce, za cenu nekvalifikovaných robotníkov.
Po skončení univerzity, sa študenti dostávajú do role živnostníkov, ale rozprávajú sa s nimi ako zo zamestnancami.
Je potrebné mladým ľuďom jednoduchým jazykom vysvetliť kontext Slovenského práva, akými zákonmi sa riadi a ako si majú vybrať akou formou budú spolupracovať.","S dcérou, ktorá končí arhitektúru sa rozprávame o budúcnosti. Z rozhovorou cítim, že mladí architekti nemajú správne informácie a znalosti o právnom, ekonomickom a finančnom kontexte svojho statusu voči partnerom v branži.","Slovenské pracovno právne právo, obchodný zákonník, daňové zákony.",?,?,?,?,KNIFE na Githube,,,,,,,,,,,,
K000035,,a0dd0165-5fd8-4d56-b1e5-46b014bf6dd6,,knife,"Context Aware Solutions / paradigma, solution",SSL certificates DIY,User guide,inprogress,Vysoka,26.05.2025,Roman Kazicka,,,Vytvorenie SSL certifikátu a jeho obnovenie,"postupne, ako som si robil kazno ako bude cely ekosystem vyzerat, som prisiel na staru myslienku Kontext je klucovy…",,,,,,,,,,,,,,,,,,
K000036,,5d8e7ee1-a0d2-474b-832e-c91a030ea3d0,,knife,Ako si vyrobit automaticke nastavovanie SSL,„Advanced GitHub KM Layer“,Advance features,done,done,28.05.2025,Roman Kazicka,,,"Pre FIIT PROLABORATE potrebujem SSL certifikaty, ako pre zakaznikov ako Dusan","Pri obnovovani SSL certifkatov som zabijal kopec casu, teraz mam script",,,,,,,,,,,,,,,,,,
K000037,,ae7ca16f-5400-4912-b3e1-60c755c6b16b,,knife,Sementicke a kontextove vyhladavanie nad GitHUB,Publishing,Publishing,backlog,Middle,28.05.2025,Roman Kazicka,,,"Nestaci mat len data a informacie, je nevyhnutne ich spajat a dotazovat sa","Pocas pripravy struktury CAS , KNIFE licencii, biznis modelu som dosiel na chybajucu vlastnost=kontextove vyhladavanie nad GITOM",,a,,,,,,,,,,,,,,,,
K000038,,14675413-a6ee-4b45-9be4-1e2012d03c95,,knife,Migracia Joomla -->GitHUB MkDocs,Education Framework,Education Framework,backlog,Middle,06.06.2025,Roman Kazicka,,,"Zachovať históriu kurzu (2017–2025), udržať všetko v jednom hlavnom repozitári","Pocas pripravy STH-SDLC 2025-2026 a pocas skumania GitHUB Sites, MkDocs som dospel k nazoru, ze by bolo suber premigrovat 
Migrácia učebných materiálov zo starého CMS (Joomla) do modernej dokumentačnej platformy
","JOOMLA, GIRHUB, J2XML, J2MD",,,,,,,,,,,,,,,,,
K000039,,d65f381f-c6dd-43af-a6e3-1742a5adb17d,,knife,GitHUB Education Framework,SPA-Framework,SPA framework,backlog,Middle,10.06.2025,Roman Kazicka,,"Educations, Frameworks","Zastrešujúci rámec pre vzdelávacie kurzy na GitHube (GitHub Classroom, Pages, Docs generátory). Definuje zásady, šablóny, publishing flow a metriky.Skillmea, SEDUO maju vlastny framework , uvodny trailer, potom odskok do platenej verzie. To iste sa da aj na GitHUB.","Pri príprave STH2025–2026 sa ukázalo, že GitHub + Pages + generátory poskytujú kompletný, otvorený a bezplatný edukačný stack.Pocas pripravy STH2025-2026- som si uvedomil, ze GitHub, HitHUb Class, Sites, MkDOks umoznuju vytvorit cely ekosystem. A zadarmo.","GitHUB, Active Presenter",,Learning-based / Methods & Tools,,,Framework,,,,,,,,,,,,
K000040,,c96e9214-93fc-4799-ae2d-43fa543430fd,,knife,SinglePageApplication – Webabased desktop app,AI based training,AI in education,backlog,Low,17.06.2025,Roman Kazicka,,"Solution Development,
Framework","GitHUb je zaklad aj pre vyvoj aplikacii nezavislych na koncovom zariadenie SPA
Je to obrovsky priestor pre tvor bu vlastnych aplikacii ako KnowMyself","Pocas pripravy webinara GitDos-Demo som si uvedomil, ze samotne nastroje pre dokumentovanie vyuzivaju VSC ako Web. Komplexne GUI ale na webe.","GitHUB, VUE, …",,,,,Framework,,,,,,,,,,,,
K000041,,e1f2e352-e045-4680-a750-4bba1f8f7479,,knife,Kontrola odpovedé študentov pomocou API na AI,BACKUP,How To,inprogress,Middle,21.06.2026,Roman Kazicka,,,Pre veľký počet študentov nie je možné kontrolovať odpovede na voľné otázky. AI by mohlo pomôcť.,"Počas prípravy repozitárov pre STH2025 riešim aj kontroly a komunikáciu so študentami. Je toho more, ale AI s API by bolo super.",API GPT,,,,,,,,,,,,,,,,,
K000042,,ed25f447-b17f-4a3a-941e-bb441e170fc3,,knife,OneDrive backup to external disk on QNAP,ESG- Krátky úvod,Education Explanantion,inProgress,TOP,27.07.2025,Roman Kazicka,,,"This KNIFE explains how to create a full backup of your OneDrive data in cases where the local disk does not have sufficient capacity to mirror the entire cloud content. When 'Files On-Demand' is enabled, standard tools are unable to copy files – they can at best read their metadata. However, using tools like `rclone`, it becomes possible to back up the cloud directly without needing local mirroring.","Microsoft offers cloud storage up to several terabytes, but over time each storage fills up. At that point, you either have to buy more space or clean up existing data.
 
I wanted neither. Since I had enough free capacity on an external disk connected to my QNAP NAS, I decided to create a complete copy of my OneDrive there.
 
I had no idea it wouldn't be a trivial task.","rclone, Mac OS, QNAP",,,,,,,,,,,,,,,,,
K000043,,50afe040-3e25-46cc-bb56-8b594dadf3cf,,knife,Základné informácie o ESG,UserGuide,HowTO,Init,Low,28.07.2025,Roman Kazicka,,,"Environment, Social, Government is crutial topic for human being survival. It is important to understand  the background","I have attended mandatory training in 365 bank. Excellent lector, important topic.","Heart, Brain",,,,,,,,,,,,,,,,,
