ID,display_id,GUID,DID,DAO,ShortTitle,Category,Type,Status,Priority,Created [YYYY-MM-DD],Author,Authors,Tags,Description,Context_Origin_WhyItWasInitiated,Technology,SFIA_Level,SFIA_Domain,SFIA_Maturity,Related_KNIFE,PotentialOutputs,Owner,Org,Project,Locale,FolderName,SidebarLabel,LinkSlug,Copyright,RightsHolderContent,RightsHolderSystem,License,Disclaimer
K000044,,dee65721-5f92-4cf5-8a45-0dd0ace2a7e9,,knife,Thunderbird – Archive-export,Inšpirácie,"concepts, methodology",done,Low,04.08.2025,Roman Kazicka,,,Omylom som poslal e-mail do archivu. Mam v  poste asi 60GB udajov. Ako to riesit?,"Pri rutinnej práci som omylom poslal e-mail do archívu. Napadlo ma, že sa niečo nové naučím. Možno ušetrím diskovú kapacitu a nestratím možnosť vyhľadávať v histórii",Thunderbird,Intermediate,IT Communication,Basic,Thunderbird_Import_Helper.md 🔄,,,,,,,,,,,,,
K000045,,550e3260-c6ee-402a-9c41-5250e9cd1af3,,knife,KNIFE047 – 7S Cycle of Meaningful Knowledge,User Guide,HowTo,backlog,Low,04.08.2025,Roman Kazicka,,,Nové inšpirácie ohľadne riešenia aj z pohľadu marketingu,"KNIFE047_Reflexia_a_epistemologia.md, KNIFE047 – Epistemológia 4Curiosis",,,Social Communities,,,,,,,,,,,,,,,
K000046,,b045421e-412b-4e20-b0ad-ebe5e1fbed9f,,knife,AI – Agent in OpenGPT,UserGuide,HowTo,inprogress,Low,04.08.2025,Roman Kazicka,,,AI Agent – ako ho vytvoriť,,,,,,,,,,,,,,,,,,,
K000047,,82c38956-39d1-4afa-8b78-845c78c22083,,knife,"KNIFE049 – Vyhľadávač nad OpenGPT históriou
",User Guide,HowTo,backlog,,04.08.2025,Roman Kazicka,,,Ako vyhľadávať v rámci GPT?,,,,,,KNIFE049_Vyhladavac.md,,,,,,,,,,,,,
K000048,,dfd04696-0904-4798-83bd-5e77bb371baf,,knife,"Open GPT, vytváranie prompt instructions",Marketing,HowTo,inprogress,,04.08.2025,Roman Kazicka,,,Vznizkli instrukcie pre zvedavych…,,,,,,,,,,,,,,,,,,,
K000049,,6fa9ddd3-5de1-4c99-ab0f-db87d301f005,,knife,Google analytics – Fundamentals,Framework / Edukačné,Education Framework,backlog,Low,04.08.2025,Roman Kazicka,,,Bez spätnej väzby je všetko náročnejšie. GA4 poskytuje marketingové spätné väzby,,,,,,,,,,,,,,,,,,,
K000050,,abaf199d-563c-487a-88d2-2c8d784afb84,,knife,GitHub LMS Framework ,Framewok for Project Management,SDLC framework,backlog,duplicity K041,04.08.2025,Roman Kazicka,,,Dal by sa GH použiť ako LMS ?,,,,,,,,,,,,,,,,,,,
K000051,,9b195cd2-e816-41b8-98be-a2a0a76538ef,,knife,Framework for Project Management in GitHUB,Best Practice,"„Ako si nastaviť build a deploy tak, aby ťa chránil pred sebou samým.“",backlog,low,10.08.2025,Roman Kazicka,,,"Mám strašne veľa tém, veľa úloh, ako to manažovať, aby som sa neutopil v nesplnených úlohách, prípadne nezabudol na dôležité témy a neobjavoval ich znova a znova?",,,,,,,,,,,,,,,,,,,
K000052,,37c1ee83-aa1c-4a67-a8f5-ed3fdae3e7aa,,knife,Docusaurus Advanced Deployment Pipeline,Best Practice,Obnov mi dobré údaje,backlog,,10.08.2025,Roman Kazicka,,,"Kontrola referencií v Docusaurus/MkDocs
	•	DRY-run, strict a full link-check, detekcia chýb na začiatku procesu
	•	Prevencia “nášľapných mín” pred buildom
	•	Možnosť zaradiť ako QA krok do CI/CD",,,,,,,,,,,,,,,,,,,
K000053,,ecadab7c-5f34-4296-864e-7c75f3ed0997,,knife,Ako obnoviť stav z minulosti?,Best Practice,Správa súborov s git odporou,inprogress,now,10.08.2025,Roman Kazicka,,,"Ako si obnoviť pokazné súbory? Ak mám v minulosti zachytené dobré údaje, nie je problém sa k nim vrátiť.
	stash, branch sandbox, práca mimo main
	•	Obnova priečinkov alebo súborov z konkrétneho commitu
	•	Praktické situácie, kedy to použiť, a ako sa vyhnúť strate dát",,,,,,,,,,,,,,,,,,,
K000054,,e6a19133-a51b-4041-a811-6ccd8611fde0,,knife,Central Panel for GIT – SDLC Git Management Makefile,Management-Reporting,Reporting nad komunikáciou s OpenGPT formou AI Agenta,done,,11.08.2025,Roman Kazicka,,,"•	Jeden Makefile ako „single point of control“
	•	Všetky Git operácie, build/deploy, kontrola odkazov, sandbox, stash management
	•	Prepojenie s princípom 3× merať, raz rezať
	•	Možnosť adaptovať pre rôzne generátory HTML (Docusaurus, MkDocs, Hugo…)
Podľa mňa by si to mohol v KNIFE_Overview zaradiť aj ako tematickú trojicu pod spoločný tag, napr.
[KNIFE: Git-SDLC-Tools] alebo [KNIFE: Git-Advanced].
Tak sa to dá pekne použiť aj v kurze ako jedna lekcia s troma kapitolami – kontrola, obnova, centrálne riadenie.",,,,,,,,,,,,,,,,,,,
K000055,,547ee1b8-84a2-4c6c-97c3-205967de0847,,knife,AI Agent na monitoroavanie nákladov OpenGPT,Management-Reporting-from the Past,Reporting od začiatku komunikácie,backlog,now,11.08.2025,Roman Kazicka,,,"Automatické reportovanie vstupných a výstupných tokenov.Presne tak – toto má perfektný predpoklad stať sa AI Agentom, ktorý:
Vie čítať tvoje konverzácie z daného projektu.
Vie ich prepojiť s tvojimi tagmi (napr. K055, Docusaurus, SDLC…)
Vie spraviť sumár tokenov a nákladov za ľubovoľné obdobie.
Vie urobiť porovnanie medzi projektmi (napr. “GitHub LMS” vs “KNIFE”).
Vie urobiť ranking – najdrahší deň, téma, alebo dokonca konkrétny prompt.
Takýto agent by si vedel zapnúť aj naprieč všetkými projektmi a raz za mesiac ti poslal “vyúčtovanie” + “Top 5 tém, ktoré pálili tokeny” + odhadovanú hodnotu v eurách.
Ak chceš, môžem ti teraz:
Urobiť retro-výpočet tokenov pre tento projekt (od začiatku).
Pripraviť šablónu AIAgenta na token tracking, ktorú by si potom vedel spustiť v akomkoľvek projekte.
","V jednom okamihu sa komunikácia zastavila na strane GPT  stým, že má náročnú ulohu, ale že dnes to bude. Tak ma napadlo, koľko také „kecanie“ konzumuje tokenov. Super príprava pre vlastné API riešenia",,,,,,,,,,,,,,,,,,
K000056,,b27765d2-8514-437e-91f2-5ed1d4f76c43,,knife,AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie,Methodology,Systém pre vzdelávanie,backlog,now,11.08.2025,Roman Kazicka,,,"Aká bola intenzita komunikácie od začiatku, koľko by to stálo cez API, Ktoré témy skonzumovali najviac energie?",,,,,,,,,,,,,,,,,,,
K000057,,1ee7fec7-5397-4920-b47d-48035c5c9125,,knife,STEM a Makerspace ako metodika vzdelávania,User Guide,Ako na to?,backlog,now,24.08.2025,Roman Kazicka,,,Spoljupracujem s Makerspace od roku 2016. POJEM STEM  som priprodzene zahrnul do  svojich metodík. Je vhodné to zviditeľniť v mojich aktivitách,"Počas prípravy STHDF 2025-2025 so prišiel na to, že to mám zaradiť do osnov",,,,,,,,,,,,,,,,,,
K000058,,51d82867-eba4-49e4-a6fb-977cf669c250,,knife,Export Draw.io diagramu do A4 PNG,Security concept,Explanation,done,done,24.08.2025,Roman Kazicka,,,Ako pripraviť Drawio obázok aby sa vždy vmestil na A4 formát?,,,,,,,,,,,,,,,,,,,
K000059,,d7e5dc5c-968e-4af4-a7b2-d76bcff5f12e,,knife,Passkey ako bezpečnostný koncept,Docusaurus Concept,Explanation,backlog,,24.08.2025,Roman Kazicka,,,Ako funguje keypass?,,,,,,,,,,,,,,,,,,,
K000060,,df47b738-87e7-4385-af12-555ac3e1666b,,knife,Docusaurus slugy a routing,User Guide,User guide,backlog,,24.08.2025,Roman Kazicka,,,Ako fungujú SLUGS v Docusaurus,,,,,,,,,,,,,,,,,,,
K000061,,35066cd7-1202-4c04-9cfe-02512ca5fa7f,,knife,Automatické generovanie KNIFES,Marketing,"User Guides, principles",backlog,,24.08.2025,Roman Kazicka,,,Ako používať automatizáciu pri generovaní KNIFES,,,,,,,,,,,,,,,,,,,
K000062,,7b469b9d-1eb5-48f6-a853-b17f4c775066,,knife,"GA4, GTN, UTM",Administration,GitHub Administration,new,done,27.08.2025,Roman Kazicka,,,"Ako funguje AG4, TGM a UTM?","Marketig patrí medzi základné aktivity každého autora. Technici túto disciplínu podceňujú. Podľa metodikyu Q12 je to potrebné zabezpečeť, aby sme mali spätnú väzbu na naše aktivty z trhu.",,,,,,,,,,,,,,,,,,
K000063,,32ff770d-25ab-45d7-b8f0-b7857fd53ecb,,knife,"MAKEFILE for KNIFE Ecosystem for Mac,Windows, Linux",SubscriptionPlans,Biznis plány GitHub-Prehľad,New,now,31.08.2025,Roman Kazicka,,,"Administrácia ecosystému KNIFE je pomerne komplexná úloha. Framework podporuje MacOS, Windows a Linux. MAKEFIEL umožňuje administráciu z jedného miesta.","Pri príprave treidy sa nabaľujú nové a nové podúlohy, ktoré musi byť splnené pred vyugenerovaním samotnej triedy zo šablény pre triedu. Táto šabl=ona by mala obsahovať všetky tieto vylepšenia",,,,,,,,,,,,,,,,,,
K000064,,fd7b354d-8ead-42aa-a615-e545c5c13cd1,,knife,Porovnanie biznis plánov GitHub,User Guide,Koncepty,New,now,01.09.2025,Roman Kazicka,,,Aká sú štartovacie náklady na profesionálny ekosystém v rámci GitHub?,Počas prípravy na semster a získaní Edu Benefit ma zaujímali ceny za komenčné použitoe,,,,,,,,,,,,,,,,,,
K000065,,72cf0d0c-72d5-41b7-8b70-06b46e43e8ab,,knife,GitHub Deployment stratégie,User Guide,Návod,new,now,02.09.2025,Roman Kazicka,,,"Deployment obsahu v GitHube sa dá vykonať viacerými spôsobmi.
Obsah v MD súboroch sa dá konzumovať cez GitHub, cez Web Pages a Web Pages namapovať na vlastnú doménu. Tu je to popísané ako sa to robí",,,,,,,,,,,,,,,,,,,
K000066,,a2c536d5-d18f-4d80-a2bd-9ef502904b9a,,knife,Kruhový portrét v GIMP,Mentoring,Inšpirácie na hodnotový marketing seba samého,new,now,05.09.2025,Roman Kazicka,,,Pri publikovaní na Web potrebujem kruhový formát obrázkov. Najjednoduchšie je použiť GIMP. Práca na 5 minút,,,,,,,,,,,,,,,,,,,
K000067,,83572f2b-c6d2-4f75-9a41-22457168d71e,,knife,"Kto ma pochváli, ak sa nepochválim sám?",Knowledge sharing,"Training on the praxis-praktický webinár ako začať pracovať s technológiou Enterprise Architect.
Cca 6 hodinový webinár o základných nastaveniach EA 16+",new,now,05.09.2025,Roman Kazicka,,,"Pre mnohých je ťažko písať o sebe. Ľahko sa skĺzne buď ku preceňovaniu, alebo naopak ku podceňovaniu.
Je to ako s marketingom. Len predmetom propagácie sme my sami.
Ak osa prezenetovať, pravdivo, transparentne?","Pri každej aktualizácii CV, pri každej aktualizácií profilov mám otázky, čo a ko o sebe prezentovať. Viem, že nie som sám, a hľadanie odpovedí na moje otázky, môže pomôcť aj ďalším.",,,,, 7S Cycle of Meaningful Knowledge,,,,,,,,,,,,,
K000068,,bfb1bccf-cf2c-4d8a-bc29-c00c6b7e1b8e,,knife,EA Fundamentals,Methodology,Metodika,new,Sparxsystems,05.09.2025,Roman Kazicka,,,"Enterprise architect (Sparxsystems technologies) je univerzálny modelovací nástroj.
Od roku 2000 ho používam prakticky na dennej báze a pomáhal mi v každej roly, do ktorej som bol angažovaný. Technické roly, ale aj v Top managemente, ITSM, TOGAF, od konceptov, top level architektúry, solutiopn architektúry, analýzy, dizajnu, testovanie, v prevádzke.
EA je veľmi komplexný, má bohatú dokumentáciu, napriek tomu je učiaca krivka náročná.
Webinár ponúka prehľadnou formou úkážky v podobe praktických príkladov vlastnosti ause casy v ktorý je možné EA používať.","Dokumentácia v IT – strategická hodnota, alebop strata času https://leanpub.com/7D",,,,,,,,,,,,,,,,,,
K000069,,ea7ecfe2-fc8d-4c67-9966-187ef88afd3b,,knife,7Ds-Seven Disciplines for successful solutions,Methodology,Metodika,ongoing,medium,05.09.2025,Roman Kazicka,,,"Metodika je zameraná na podporu aktivít v rámci SDLC. Každá potencálna iformácia má svoje miesto. A je úplne jedno v akej technológií sa implementuje.
Ja som ju implementoval ako MDG do EA Sparxsystems,
Do GitHUB,
Rozpravcované je vo One Note",Túto metodiku používam asi 15 rokov. Pred 10 rokmi som o nej vydal aj knihu,,,,,,,,,,,,,,,,,,
K000070,,c5d8b05b-4afb-4618-8ca4-657a78acd5d8,,knife,"APV-Assets-Perspectives-Views, Keep Your Aseests in Order",Methodology,Metodika,ongoing,medium,05.09.2025,Roman Kazicka,,,"Metodika na podporu manažmentu aktív v rámci SDLC. 
TAXONÓMIA, ONTOLÓGIA aktív a ich vzťahiv z pohľadu rôznych rolí, aby platilo 3RS- Right – Information-For Right Role- In Right Time","Na tejto metodike pracujem minimálne od roku 2008. 8 Rokov som ju verifikoval v VW Bratislava na cca 50000 evidovaných aktívach IT. Je to nová veľá téma, bez ktorej IT nemôže napredovať,",,LEVEL 6- expert,Enterprise architecture,Expert,,,,,,,,,,,,,,
K000071,,d0c8a434-fc6d-4444-8c4e-7577fd78dc0a,,knife,Q12- Twelve quadrants for starting business,Methodology,Metodika,ongoing,medium,05.09.2025,Roman Kazicka,,,"Metodika zameraná na 12 kvadrantov, ktoré je minimálne potrebné zohľadniť pri budovaní nového biznisu. Vhodné najmä pre startupy, ale aj pre každého jednotlivca, ktorý by chcel rozbehnúť vlastné podnikanie. ","Túto metodiku som vypracoval pred 10 rokmi. Sám sa ňou nechávam inšpirovať, ale nie som dosť dôsledný. Plánujem to zmeniť. A aj keď nevyplňam jednotlivé kapitoly do nejakého systému, niekde v podvedmí sa riadim základnými princípmi.",,Level 5 – Ensure / Advise,Biznis development,Beginner,,,,,,,,,,,,,,
K000072,,e2e77f43-e904-4438-8a74-07ac68541237,,knife,SDLC-Solution Development Life Cycle,Methodology,Metodika,ongoing,medium,05.09.2025,Roman Kazicka,,,"Táto metodika vychádza z univerzálneho V – modelu. Podporuje princíly vuizuálneho manažmentu v rámci celého ťivotného cyklu riešení. To záhŕňa desiatky rolí a stovky rolí v rátane zákazníka, dodávateľa, subdodávateľov, a podnikateľského prostredia, regulátorov, zákonov, politickej situácie","Od začiatku svojej profesionálnej kariéry vychádzam z V modelu a jeho princípov. Nie vždy dodržujem princípy, z rôznych dôvodov, ale pomáha mi to pochopiť kontext celého riešenia",,Level 3 – Apply → samostatná práca,Solution Development,Beginner,,,,,,,,,,,,,,
K000073,,3908aa84-1d7b-4ba7-8d41-ca17e1087d86,,knife,Lean canvas,Methodology,Metodika na Solution development,done md,medium,05.08.2025,Roman Kazicka,,,Implemetácia Lean canvas do celkového frameworku pre podporu vytvárania riešení. Patrí ku metodike Q12,"Každé riešenie si zaslúži analýzu z pohľadu jednoduchého biznis plánu. Pokiaľ nemám aspoň koncept bisnis plánu, aké je šanca na úsešnú realizáciu projektu?",,Level 3 – Apply → samostatná práca ,Bisnis development,Beginner,,,,,,,,,,,,,,
K000074,K075_Display,55dc93cb-b910-48ef-8ce7-8a72009286f5,,knife,"CAA- Context Aware Approach, CASY-Context Aware Systems, CASo-Context Aware Solution",Methodology,Metodika na hodnotvý markerting – PULL marketing,ongoing,medium,05.09.2025,Roman Kazicka,,,"Neexistuje situácia, kedy môžeme ignorovať kontext. Neznalosť tohto princípu vedie k obrovským nepochopeniam, chybám, manipuláciam, sporom. Úplne zbytočne. Ak sa na začiatku ujasní kontext, tak okamžite sa dostavuje porozumenie a nastáva konštruktívny prístup.
Tam kde sa precuje s manipáciami, je takmer isté, že ss vedome , ale aj neveome menia kontexty. Hovorí sa „Ja o koze a ty o voze“ , ale každý si myslí, že má pravdu, že ten druhý je blbec. A to nehovorím o politickej manipulácii zámerného podsúvania iných kontextov bez objasnenia kontextov. ","Na každom kroku  sa stretávam s nepochopením tohto  základného princípu. Ujasnime si naše kontexty a potom sa rozprávajme.
Ak to takto pomenujeme, okamžite odhalíme vedomé manipulácie, prípadne znížime nevedomé nedorozumenia.
 Napríklad diskusia „Čo je lepšie Apple alebo windows“,
BMW alebo DACIA?
Bentley alebo MAIBACH?
Ak si ujasníme kontext, aké kritéria, v akej situáci je ktoré riešenie lepšie, prestáva byť priestor na spor, a vytvára sa konštrukívna atmosf=éra na riešenia kéhokoľvek problému, v malom, aj vo veľkom.
",,LEVEL 6- expert,"Relationship development
Trust development",High awareness,,,,,,,,,,,,,,
K000075,,8566c5a6-e260-4cb7-bf8e-d7eedc89bf7f,,knife,KNIFE047 – 7S Cycle of Meaningful Knowledge,Implementácia,"Implementácia, nástroje, Procesy",ongoing,medium,05.09.2025,Roman Kazicka,,,"Moderné technológie umožňujú využívať a zneužívať rôzne techniky marketingu. Čo si zvolíme PUSH, alebo PULL prístup. Táto metodika je zameraná na PULL marketing. 
Rešpekt slobodn=ho rozhodovania bez akéhokoľvek nátlaku (napr. časovo limitované zľavy)
Marketing budovaný na základe dôvery a spoločných hodnôt","Nemám rád nátlakový marketing. Snažím sa budovať osobnú značku, dobrú reputáciu, dôveru bez nátlaku, na základu kvaluty a rešpektu.",,LEVEL 2,"Relationship development
Trust development",High awareness,,,,,,,,,,,,,,
K000076,,0486c717-dc17-41c2-ab44-f2f365c4a7be,,knife,Language as a Bridge (AI ako most medzi jazykmi),Glossary,Vysvetlenie pojmu,ongoing,medium,05.09.2025,Roman Kazicka,,,"Language as a Bridge → implementácia, nástroje, procesy (ako).","Typ: Praktický návod / Metodika
	•	Status: Draft
	•	Obsah:
	1.	Stručný recap LaaS (odkaz na K055).
	2.	Ako AI umožňuje mosty medzi jazykmi.
	3.	GitHub CI/CD príklady (preklady Markdown súborov).
	4.	LinkedIn posty – autenticita v materinskom jazyku vs. preklad pre globálne publikum.
	5.	Dopady pre študentov (písať autenticky, AI sa postará o zvyšok).
	•	Motto:
„Jazyk nemusí byť bariérou. AI stavia mosty, aby sme mohli každý rásť na vlastnej pôde.“",,LEVEL 6- expert,Solution Development,Expert,"055 – KNIFE_LaaS → fundament, hodnoty, filozofia (prečo a čo).",,,,,,,,,,,,,
K000077,,67fa4142-7407-4ca8-a24a-a0777669bc26,,knife,Čo znamená slovo že je niečo idempotentné?,Explanation,Docusaurus vs. GitHub Pages. Architektúra,now,medium,15.09.2029,Roman Kazička,,,Dosť často sa začalo používať slovo idempotentná operácia. Ako to ale vzniklo? Prečo to vzniklo?,"Pri príprave štruktúry adresárov pre repozitár ročníka publik sme prišli ku skriptu, ktorý nazval AI idempotentný skript. Požiadal som o vysvetlenie aj s históriou slova",,,,,,,,,,,,,,,,,,
K000078,,9fa013f5-0130-4af4-8e6e-db4ca6d38397,,knife,Docusaurus-vs-github-pages-package-json,Infrastructure,Návod na riešenie,now,medium,17.09.2025,Roman Kazička,,,Ako vytvoriť OS agnostcké prostredie pre KNIFE? Poznanie architektúry odpovie na otázku jednotného systému pre vývoj KNIFES,"Počas prípravyi ekosystému pre windows, vznikla potreba aká je architektúra GitHub a Docusaurus a ako to urobiť univerzálne","GitHub, React, Docusaurus",,,,,,,,,,,,,,,,,
K000079,,d668f12d-7a40-4940-998f-13dba8edeb2b,,knife,Transparentná -Stabilná infraštruktúra pre Sites,UserGuide pre Markdown,Návod na riešenia,idea,hi,25.09.2025,Roman Kazička,,,"Počas práce s GitHub a Pages je potrebné mať zladené prostredie na klientovi a na serveri. Lokál je závislý od OS, od verzí vývojových nástrojov. Ideálne by bolo, keby existovalo stabilné, opakovateľné prostredie pre vytvorenie lokálneho prostredia, bez ohľadu na operačný systém na klientovi – Windows, Mac, Linux.","Keby som mal vlasy, boli by ako sned na horách. Keby som sa nerozhodol pre Sites, tedz Web prístup ku svojmu obsahu, ušetril by som množstvo času. Ale stratil by som základnú hodnotu- Jednoduchý Web prístup k tomuto obsahu.","GitHUb, React, Docusaurus, Windows, Mac, Linux",LEVEL -6-Expert,Architecture,Expert,,,,,,,,,,,,,,
K000080,,5174fcab-7594-4e7e-8582-7396133dec8c,,knife,Ako urobiť text v MD atraktívnejší (emoji),UserGuide,Návod na riešenie,done md,low,25.09.2025,Roman Kazička,,,Čítanie s porozumením je veľmi náročná disciplína. Preto je dôležité priblížiť text ku príbehu pomocou malých obrázkov. Dobrý kandif’dát je EMOJI,"Pri písaní KNIFE človek potrebuje písať rýchlo, lebo KNIFE nie je jeho primárny cieľ. Každá pomôcka  je cenná, šetrí čas.",Markdown,beginer,Documentation,,,,,,,,,,,,,,,
K000081,,02921a34-5a83-4713-bafa-1be560a98d18,,knife,Aktualizácia komponentov pre Docusaurus,UserGuide,Návod na riešenie,done md,low,25.09.2025,Roman Kazička,,,"Všetko má životný cyklus. Naše dokumenty, ale aj systémy a nástroje, ktoré používame. Preto nikdy nemáme stabilné, nemenné prostredie. Tak Aj docusaurus sa stále mní a vznikajú závislosti a človek sa môže zblázniť a rieši infraštruktúru a nie to čo potrebuje riešiť.","Keď si už myslíš, že si dokončil svoju pácu a chceš ísť spať, commitneš poslednú zmenu, otestovanú na lokáli a pusnesh to na server, už sa tešíš do postele, ale preds apo očku pozrieť na server či ti to builduje…. Červená ikona ťa vyvedie z omylu…. A začínaš nočnú. Nie v posteli ale za klávesnicou…","Development, Maintenance",L1-L8 everybody,Maintenence,,,,,,,,,,,,,,,
K000082,RKA_K085,060ab917-70a9-4e1f-b1db-a6c9fc8ce8b3,,knife,Ako aktivovať na GitHube EDU benefity,Testy,Test,in progress,low,26.09.2025,Roman Kazička,,,"Pokiaľ  spĺňa používateľ kritériá GitHub, môže dostať pre seba pre svoj profil status člena EDU organizácie. Má to viaceroo výhod ako Sites pre privátne repositáre, čo by stálo 3€/mesiac. Detailnejšie v inom Knife. V tomto príspevku je samotná aktivácia týchto benefitov",,,,,,,,,,,,,,,,,,,
K000083,RKA_K085,7e41fe41-1fcc-4dc9-912d-8b422c9ca272,,knife,Testovací knife2,Testy,Test,testing,,27.09.2025,Roman Kazicka,,,Tento riadok slúži na overenie funkčnosti generátora,len tak,,,,,,,,,,,,,,,,,,
K000084,,c000d02a-b7ed-4e78-a5be-9e8e975445e0,,knife,Testovací knife3,,Test,testing,,27.09.2025,Roman Kazicka,,,Tento riadok slúži na overenie funkčnosti generátora,len tak,,,,,,,,,,,,,,,,,,
